id,ing_name,prot.ing.g.,fat.ing.g.,total_cab.ing.g.,modified_cal.ing.kcal.
89,粳米(高雄139號),6.1225,1.1844,78.4933,354.5092
90,蓬萊米,6.1225,1.1844,78.4933,354.5092
91,圓米,6.1225,1.1844,78.4933,354.5092
92,粳米(高雄142號),7,0.6,77.7,352.092
93,蓬萊米,7,0.6,77.7,352.092
94,圓米,7,0.6,77.7,352.092
95,粳米(高雄145號),6.768,0.9792,80.0453,362.4282
96,越光米,7.556,0.9765,73.25,337.6754
97,蓬萊米,7.556,0.9765,73.25,337.6754
98,圓米,7.556,0.9765,73.25,337.6754
99,加鈣米,7.37,0.74,77.68,353.6529
100,高纖米,8.276,2.47,75.1674,356.7087
101,高纖蓬萊米,8.276,2.47,75.1674,356.7087
102,白秈糯米(台中糯70號秈米),7.8625,0.89,78.439,360.4693
103,長糯米,7.8625,0.89,78.439,360.4693
104,白粳糯米平均值,8.29,0.81,77.418,356.6718
105,圓糯米,8.29,0.81,77.418,356.6718
106,白粳糯米(台中189號粳米),8.38,0.52,78.036,357.1425
107,圓糯米,8.38,0.52,78.036,357.1425
108,白粳糯米(台粳糯1號粳米),8.2,1.1,76.8,356.201
109,圓糯米,8.2,1.1,76.8,356.201
110,野生紅米,7.693,2.5955,74.7352,352.4482
111,紅糯米,9.92,2.8463,72.5936,352.2081
112,黑秈糯米,10.1235,3.465,70.1026,350.4265
113,黑糯米,10.1235,3.465,70.1026,350.4265
114,紫糯米,10.1235,3.465,70.1026,350.4265
115,紫米,10.1235,3.465,70.1026,350.4265
116,貢米,10.1235,3.465,70.1026,350.4265
117,長生米,10.1235,3.465,70.1026,350.4265
118,胚芽秈米(台中秈10號),8.272,2.0718,76.0519,357.1116
119,胚芽粳米平均值,8.1985,1.5692,76.833,358.4954
120,胚芽粳米(台粳10號）,7.28,1.6679,77.1722,356.6107
121,胚芽粳米(台粳9號),9.117,1.4705,76.4937,360.3801
122,發芽粳米平均值,7.798,2.3453,73.9857,347.8713
123,發芽糙米,7.798,2.3453,73.9857,347.8713
124,發芽粳米(台粳71號),7.406,2.8031,73.8638,349.7035
125,發芽糙米,7.406,2.8031,73.8638,349.7035
126,益全香米發芽米,7.406,2.8031,73.8638,349.7035
127,發芽粳米(台粳9號）,8.19,1.8875,74.1076,346.0392
128,發芽糙米,8.19,1.8875,74.1076,346.0392
129,糙秈米,7.285,3.2064,73.6444,351.7616
130,糙粳米平均值,8.1955,2.4748,75.1385,353.8085
131,糙粳米(台粳71號),8.955,2.6203,73.6494,352.8875
132,益全香米糙米,8.955,2.6203,73.6494,352.8875
133,糙粳米(台粳9號),7.436,2.3292,76.6276,354.7295
134,米胚芽,17.024,12.723,52.8858,359.7654
135,秈米粉,4.157,0.4215,83.3658,362.1597
136,在來米粉,4.157,0.4215,83.3658,362.1597
137,糙米粉,11.3,3.2,78.1,385.955
138,白糯米粉,4.505,0.3825,82.3007,358.5861
139,米粉平均值,2.0527,0.8033,85.3234,364.6094
140,埔里米粉,0.534,0.52,87.726,355.38
141,細米粉,0.374,0.57,87.1643,353.3738
142,濁水米粉,5.25,1.32,81.08,356.7146
143,米粄條,1.05,0.9465,29.1829,126.5621
,粄條,1.05,0.9465,29.1829,126.5621
144,美濃粄條,1.05,0.9465,29.1829,126.5621
145,米苔目,0.555,0.05,29.635,120.92
146,粿仔條,0.511,1.24,45.0229,192.6048
147,免煮飯,3.23,0.34,37.05,167.2307
148,白飯,3.09,0.25,41.01,181.9696
,糙米飯,3.09,0.25,41.01,181.9696
149,高梁,11.0165,3.0448,73.6032,360.8068
150,糯高梁,10.69,1.04,75.6852,356.921
151,黑麥片,7.784,1.234,77.3014,336.4225
152,燕麥,10.9165,10.215,67.4401,387.9344
153,即食燕麥片,11.909,9.5684,67.8638,383.9426
154,燕麥片,12.3,9.7,64.1,383.41
155,蕎麥,11.037,2.8733,71.2715,353.3719
156,三角米,11.037,2.8733,71.2715,353.3719
157,蕎麥麵(濕),6.281,1.5162,28.5986,149.6394
158,蕎麥麵(乾),12.6925,1.7098,70.6336,346.3154
159,薏仁,14.0733,6.05,66.2196,374.684
160,薏仁,14.0733,6.05,66.2196,374.684
161,薏苡仁,14.0733,6.05,66.2196,374.684
162,糙薏仁,13.702,7.3707,65.9182,378.87
163,紅薏仁,13.702,7.3707,65.9182,378.87
164,薏仁粉,10.89,3.475,79.99,388.815
165,五穀米,8.695,2.8521,72.9163,347.9681
166,淮山,5.294,0.34,82.3519,351.3007
167,山芋,5.294,0.34,82.3519,351.3007
168,山薯,5.294,0.34,82.3519,351.3007
169,田薯,5.294,0.34,82.3519,351.3007
170,薯蕷,5.294,0.34,82.3519,351.3007
171,長薯;淮山(加工後),5.294,0.34,82.3519,351.3007
172,山藥平均值,2.8716,0.1075,18.1911,84.3532
173,山芋,2.8716,0.1075,18.1911,84.3532
174,山薯,2.8716,0.1075,18.1911,84.3532
175,田薯,2.8716,0.1075,18.1911,84.3532
176,薯蕷,2.8716,0.1075,18.1911,84.3532
177,長薯;淮山(加工後),2.8716,0.1075,18.1911,84.3532
178,山藥(二刺),2.732,0.0872,18.8787,85.8038
179,山芋,2.732,0.0872,18.8787,85.8038
180,山薯,2.732,0.0872,18.8787,85.8038
181,田薯,2.732,0.0872,18.8787,85.8038
182,薯蕷,2.732,0.0872,18.8787,85.8038
183,長薯;淮山(加工後),2.732,0.0872,18.8787,85.8038
184,山藥(大汕1號),2.407,0.0749,16.9691,77.884
185,山芋,2.407,0.0749,16.9691,77.884
186,山薯,2.407,0.0749,16.9691,77.884
187,田薯,2.407,0.0749,16.9691,77.884
188,薯蕷,2.407,0.0749,16.9691,77.884
189,長薯;淮山(加工後),2.407,0.0749,16.9691,77.884
190,山藥(大汕3號),2.649,0.08,14.965,69.8227
191,山芋,2.649,0.08,14.965,69.8227
192,山薯,2.649,0.08,14.965,69.8227
193,田薯,2.649,0.08,14.965,69.8227
194,薯蕷,2.649,0.08,14.965,69.8227
195,長薯;淮山(加工後),2.649,0.08,14.965,69.8227
196,山藥(大刺),3.523,0.0704,17.0539,82.085
197,山芋,3.523,0.0704,17.0539,82.085
198,山薯,3.523,0.0704,17.0539,82.085
199,田薯,3.523,0.0704,17.0539,82.085
200,薯蕷,3.523,0.0704,17.0539,82.085
201,長薯;淮山(加工後),3.523,0.0704,17.0539,82.085
202,山藥(中國長品),2.452,0.0926,15.479,73.297
203,山芋,2.452,0.0926,15.479,73.297
204,山薯,2.452,0.0926,15.479,73.297
205,田薯,2.452,0.0926,15.479,73.297
206,薯蕷,2.452,0.0926,15.479,73.297
207,長薯;淮山(加工後),2.452,0.0926,15.479,73.297
208,山藥(台農1號),2.595,0.1302,19.9388,90.8409
209,山芋,2.595,0.1302,19.9388,90.8409
210,山薯,2.595,0.1302,19.9388,90.8409
211,田薯,2.595,0.1302,19.9388,90.8409
212,薯蕷,2.595,0.1302,19.9388,90.8409
213,長薯;淮山(加工後),2.595,0.1302,19.9388,90.8409
214,山藥(台農2號),3.207,0.0594,19.8694,93.6672
215,山芋,3.207,0.0594,19.8694,93.6672
216,山薯,3.207,0.0594,19.8694,93.6672
217,田薯,3.207,0.0594,19.8694,93.6672
218,薯蕷,3.207,0.0594,19.8694,93.6672
219,長薯;淮山(加工後),3.207,0.0594,19.8694,93.6672
220,山藥(白皮削),2.465,0.0883,15.6961,72.0638
221,山芋,2.465,0.0883,15.6961,72.0638
222,山薯,2.465,0.0883,15.6961,72.0638
223,田薯,2.465,0.0883,15.6961,72.0638
224,薯蕷,2.465,0.0883,15.6961,72.0638
225,長薯;淮山(加工後),2.465,0.0883,15.6961,72.0638
226,山藥(尖石原生種),3.14,0.1494,12.4121,61.9702
227,山芋,3.14,0.1494,12.4121,61.9702
228,山薯,3.14,0.1494,12.4121,61.9702
229,田薯,3.14,0.1494,12.4121,61.9702
230,薯蕷,3.14,0.1494,12.4121,61.9702
231,長薯;淮山(加工後),3.14,0.1494,12.4121,61.9702
232,山藥(宜蘭原生種),4.796,0.1859,29.0937,135.4035
233,山芋,4.796,0.1859,29.0937,135.4035
234,山薯,4.796,0.1859,29.0937,135.4035
235,田薯,4.796,0.1859,29.0937,135.4035
236,薯蕷,4.796,0.1859,29.0937,135.4035
237,長薯;淮山(加工後),4.796,0.1859,29.0937,135.4035
238,山藥(花蓮3號),1.693,0.0892,20.8666,90.2658
239,山芋,1.693,0.0892,20.8666,90.2658
240,山薯,1.693,0.0892,20.8666,90.2658
241,田薯,1.693,0.0892,20.8666,90.2658
242,薯蕷,1.693,0.0892,20.8666,90.2658
243,長薯;淮山(加工後),1.693,0.0892,20.8666,90.2658
244,山藥(青森),2.607,0.1832,19.8732,89.2115
245,山芋,2.607,0.1832,19.8732,89.2115
246,山薯,2.607,0.1832,19.8732,89.2115
247,田薯,2.607,0.1832,19.8732,89.2115
248,薯蕷,2.607,0.1832,19.8732,89.2115
249,長薯;淮山(加工後),2.607,0.1832,19.8732,89.2115
250,紅薯,2.821,0.0766,19.5752,90.0207
251,山芋,2.821,0.0766,19.5752,90.0207
252,山薯,2.821,0.0766,19.5752,90.0207
253,田薯,2.821,0.0766,19.5752,90.0207
254,薯蕷,2.821,0.0766,19.5752,90.0207
255,長薯;淮山(加工後),2.821,0.0766,19.5752,90.0207
256,山藥(高田),3.116,0.1381,14.0043,68.6093
257,山芋,3.116,0.1381,14.0043,68.6093
258,山薯,3.116,0.1381,14.0043,68.6093
259,田薯,3.116,0.1381,14.0043,68.6093
260,薯蕷,3.116,0.1381,14.0043,68.6093
261,長薯;淮山(加工後),3.116,0.1381,14.0043,68.6093
262,木薯粉,0.076,0.1924,87.3207,361.3008
263,樹薯粉,0.076,0.1924,87.3207,361.3008
264,冰心地瓜,1.283,0.1199,27.473,113.1658
265,甘薯,1.283,0.1199,27.473,113.1658
266,番薯,1.283,0.1199,27.473,113.1658
267,甜薯,1.283,0.1199,27.473,113.1658
268,地瓜,1.283,0.1199,27.473,113.1658
269,田薯,1.283,0.1199,27.473,113.1658
270,土薯,1.283,0.1199,27.473,113.1658
271,紅薯,1.283,0.1199,27.473,113.1658
272,過溝菜,1.283,0.1199,27.473,113.1658
273,菱角牛奶地瓜,1.86,0.3302,29.8853,129.7027
274,甘薯,1.86,0.3302,29.8853,129.7027
275,番薯,1.86,0.3302,29.8853,129.7027
276,甜薯,1.86,0.3302,29.8853,129.7027
277,地瓜,1.86,0.3302,29.8853,129.7027
278,田薯,1.86,0.3302,29.8853,129.7027
279,土薯,1.86,0.3302,29.8853,129.7027
280,紅薯,1.86,0.3302,29.8853,129.7027
281,過溝菜,1.86,0.3302,29.8853,129.7027
282,芋心甘薯,1.055,0.1138,28.4558,116.2921
283,甘薯,1.055,0.1138,28.4558,116.2921
284,番薯,1.055,0.1138,28.4558,116.2921
285,甜薯,1.055,0.1138,28.4558,116.2921
286,地瓜,1.055,0.1138,28.4558,116.2921
287,田薯,1.055,0.1138,28.4558,116.2921
288,土薯,1.055,0.1138,28.4558,116.2921
289,紅薯,1.055,0.1138,28.4558,116.2921
290,過溝菜,1.055,0.1138,28.4558,116.2921
291,紅肉甘薯,1.7783,0.248,25.41,108.6204
292,甘薯,1.7783,0.248,25.41,108.6204
293,番薯,1.7783,0.248,25.41,108.6204
294,甜薯,1.7783,0.248,25.41,108.6204
295,地瓜,1.7783,0.248,25.41,108.6204
296,田薯,1.7783,0.248,25.41,108.6204
297,土薯,1.7783,0.248,25.41,108.6204
298,紅薯,1.7783,0.248,25.41,108.6204
299,過溝菜,1.7783,0.248,25.41,108.6204
300,金時地瓜,1.639,0.3583,31.2836,133.7281
301,甘薯,1.639,0.3583,31.2836,133.7281
302,番薯,1.639,0.3583,31.2836,133.7281
303,甜薯,1.639,0.3583,31.2836,133.7281
304,地瓜,1.639,0.3583,31.2836,133.7281
305,田薯,1.639,0.3583,31.2836,133.7281
306,土薯,1.639,0.3583,31.2836,133.7281
307,紅薯,1.639,0.3583,31.2836,133.7281
308,過溝菜,1.639,0.3583,31.2836,133.7281
309,黃肉甘薯,1.278,0.1527,27.7651,115.2763
310,甘薯,1.278,0.1527,27.7651,115.2763
311,番薯,1.278,0.1527,27.7651,115.2763
312,甜薯,1.278,0.1527,27.7651,115.2763
313,地瓜,1.278,0.1527,27.7651,115.2763
314,田薯,1.278,0.1527,27.7651,115.2763
315,土薯,1.278,0.1527,27.7651,115.2763
316,紅薯,1.278,0.1527,27.7651,115.2763
317,過溝菜,1.278,0.1527,27.7651,115.2763
318,甘薯粉,1.0215,0.1509,85.5103,356.4607
319,甘薯粉,1.0215,0.1509,85.5103,356.4607
320,蕃薯粉,1.0215,0.1509,85.5103,356.4607
321,甜薯粉,1.0215,0.1509,85.5103,356.4607
322,地瓜粉,1.0215,0.1509,85.5103,356.4607
323,芋頭平均值,2.0292,0.7798,25.7547,114.9843
324,芋頭,2.0292,0.7798,25.7547,114.9843
325,芋艿,2.0292,0.7798,25.7547,114.9843
326,芋乃,2.0292,0.7798,25.7547,114.9843
327,芋仔,2.0292,0.7798,25.7547,114.9843
328,青芋,2.0292,0.7798,25.7547,114.9843
329,土芝,2.0292,0.7798,25.7547,114.9843
330,芋頭,2.5,1.1,26.4,122.8528
331,芋頭,2.5,1.1,26.4,122.8528
332,芋艿,2.5,1.1,26.4,122.8528
333,芋乃,2.5,1.1,26.4,122.8528
334,芋仔,2.5,1.1,26.4,122.8528
335,青芋,2.5,1.1,26.4,122.8528
336,土芝,2.5,1.1,26.4,122.8528
337,小芋頭(山芋),2.2897,1.2044,22.7924,106.7196
338,芋頭,2.2897,1.2044,22.7924,106.7196
339,芋艿,2.2897,1.2044,22.7924,106.7196
340,芋乃,2.2897,1.2044,22.7924,106.7196
341,芋仔,2.2897,1.2044,22.7924,106.7196
342,青芋,2.2897,1.2044,22.7924,106.7196
343,土芝,2.2897,1.2044,22.7924,106.7196
344,檳榔心芋,1.298,0.035,28.0716,115.3805
345,芋頭,1.298,0.035,28.0716,115.3805
346,芋艿,1.298,0.035,28.0716,115.3805
347,芋乃,1.298,0.035,28.0716,115.3805
348,芋仔,1.298,0.035,28.0716,115.3805
349,青芋,1.298,0.035,28.0716,115.3805
350,土芝,1.298,0.035,28.0716,115.3805
351,芋頭粉,0.102,0.0475,83.0813,314.9299
352,冷凍芋頭塊,2.2,4.3,24.9,135.097
353,豆薯,0.728,0.0616,6.8139,28.7747
354,刈薯,0.728,0.0616,6.8139,28.7747
355,涼薯,0.728,0.0616,6.8139,28.7747
356,葛薯,0.728,0.0616,6.8139,28.7747
357,沙葛,0.728,0.0616,6.8139,28.7747
358,地瓜,0.728,0.0616,6.8139,28.7747
359,三角薯,0.728,0.0616,6.8139,28.7747
360,紅馬鈴薯(粉紅珍珠馬鈴薯),1.64,0.0173,14.374,62.9545
361,洋芋,1.64,0.0173,14.374,62.9545
362,洋薯,1.64,0.0173,14.374,62.9545
363,洋山芋,1.64,0.0173,14.374,62.9545
364,荷蘭薯,1.64,0.0173,14.374,62.9545
365,日本番薯,1.64,0.0173,14.374,62.9545
366,塊茄,1.64,0.0173,14.374,62.9545
367,黃皮馬鈴薯平均值,2.1653,0.1081,14.2815,65.6196
368,洋芋,2.1653,0.1081,14.2815,65.6196
369,洋薯,2.1653,0.1081,14.2815,65.6196
370,洋山芋,2.1653,0.1081,14.2815,65.6196
371,荷蘭薯,2.1653,0.1081,14.2815,65.6196
372,日本番薯,2.1653,0.1081,14.2815,65.6196
373,塊茄,2.1653,0.1081,14.2815,65.6196
374,馬鈴薯,2.5825,0.2161,15.7848,74.2473
375,洋芋,2.5825,0.2161,15.7848,74.2473
376,洋薯,2.5825,0.2161,15.7848,74.2473
377,洋山芋,2.5825,0.2161,15.7848,74.2473
378,荷蘭薯,2.5825,0.2161,15.7848,74.2473
379,日本番薯,2.5825,0.2161,15.7848,74.2473
380,塊茄,2.5825,0.2161,15.7848,74.2473
381,小馬鈴薯(珍珠馬鈴薯),1.748,0,12.7782,56.992
382,洋芋,1.748,0,12.7782,56.992
383,洋薯,1.748,0,12.7782,56.992
384,洋山芋,1.748,0,12.7782,56.992
385,荷蘭薯,1.748,0,12.7782,56.992
386,日本番薯,1.748,0,12.7782,56.992
387,塊茄,1.748,0,12.7782,56.992
388,馬鈴薯粉,0.09,0.07,83.8,345.7698
389,太白粉,0.09,0.07,83.8,345.7698
390,荸薺,1.703,0.0989,14.4924,62.7737
391,水栗,1.703,0.0989,14.4924,62.7737
392,地栗,1.703,0.0989,14.4924,62.7737
393,馬蹄,1.703,0.0989,14.4924,62.7737
394,馬薯,1.703,0.0989,14.4924,62.7737
395,烏芋,1.703,0.0989,14.4924,62.7737
396,水燈心草,1.703,0.0989,14.4924,62.7737
397,海蔥仔,1.703,0.0989,14.4924,62.7737
398,水蔥仔,1.703,0.0989,14.4924,62.7737
399,荸薺粉,0.384,0.2065,87.7738,363.7621
400,水栗粉,0.384,0.2065,87.7738,363.7621
401,地栗粉,0.384,0.2065,87.7738,363.7621
402,馬蹄粉,0.384,0.2065,87.7738,363.7621
403,馬薯粉,0.384,0.2065,87.7738,363.7621
404,烏芋粉,0.384,0.2065,87.7738,363.7621
405,水燈心草粉,0.384,0.2065,87.7738,363.7621
406,海蔥仔粉,0.384,0.2065,87.7738,363.7621
407,水蔥仔粉,0.384,0.2065,87.7738,363.7621
408,蓮藕,2.0293,0.1893,13.5033,58.1861
409,蓮根,2.0293,0.1893,13.5033,58.1861
410,藕,2.0293,0.1893,13.5033,58.1861
411,芙蕖,2.0293,0.1893,13.5033,58.1861
412,荷花藕,2.0293,0.1893,13.5033,58.1861
413,熟蓮藕,1.088,0.0542,11.0468,47.2195
414,蓮根,1.088,0.0542,11.0468,47.2195
415,藕,1.088,0.0542,11.0468,47.2195
416,芙蕖,1.088,0.0542,11.0468,47.2195
417,荷花藕,1.088,0.0542,11.0468,47.2195
418,熟蓮藕切片(水煮),0.772,0.048,16.9402,65.9022
419,蓮根,0.772,0.048,16.9402,65.9022
420,藕,0.772,0.048,16.9402,65.9022
421,芙蕖,0.772,0.048,16.9402,65.9022
422,荷花藕,0.772,0.048,16.9402,65.9022
423,蓮藕粉,0.12,0.05,88.3381,364.1559
424,西谷米,0.1,0.1,89.7479,370.4498
425,菱角(生),1.9,0.33,16.07,72.3715
426,菱,1.9,0.33,16.07,72.3715
427,芰,1.9,0.33,16.07,72.3715
428,龍角,1.9,0.33,16.07,72.3715
429,羊家,1.9,0.33,16.07,72.3715
430,紅菱,1.9,0.33,16.07,72.3715
431,菱角(熟),4.218,0.25,30.9853,139.8269
432,菱,4.218,0.25,30.9853,139.8269
433,芰,4.218,0.25,30.9853,139.8269
434,龍角,4.218,0.25,30.9853,139.8269
435,羊家,4.218,0.25,30.9853,139.8269
436,紅菱,4.218,0.25,30.9853,139.8269
437,菱角仁(生),4.141,0.3171,24.0776,113.4768
438,蒟蒻粉,0.184,0.1888,87.2371,336.645
439,杏仁片(生),27.257,47.8116,16.9753,550.4163
440,杏仁片(熟),23.443,56.8882,14.8323,588.1443
441,原味杏仁果,21.946,49.8409,23.2326,567.5262
442,蒜味杏仁果,23.349,53.6446,17.9801,583.9637
443,杏仁粉,9.675,36.3659,47.1231,519.7424
444,松子仁,16.6155,69.5262,9.3778,669.055
,松子,16.6155,69.5262,9.3778,669.055
445,原味松子仁,14.462,68.9571,13.0403,668.0776
446,蜜汁松子仁,14.89,62.39,19,689.01
447,原味夏威夷豆,7.478,71.6416,18.2422,686.8625
448,夏威夷火山豆,7.478,71.6416,18.2422,686.8625
449,鹽酥夏威夷豆,9.4045,76.3138,12.0302,709.1833
450,夏威夷火山豆,9.4045,76.3138,12.0302,709.1833
451,生核桃,15.388,67.9249,11.1741,654.6403
452,甜核桃,14.448,67.4103,14.7292,711.0761
453,栗子(生),4.6115,1.44,57.941,242.3017
454,糖炒栗子,4.15,0.81,46.29,197.8436
455,栗子仁(生),3.686,0.7452,38.6856,158.4826
456,無花果,3.56,4.3,77.8,337.4799
457,開心果,22.381,52.7376,20.0686,572.6833
458,腰果(生),18.3335,45.5279,30.3317,560.6687
459,原味腰果,16.376,43.7356,35.1692,555.7807
460,蜜汁腰果,17.59,43.58,34.26,595.72
461,原味榛果,12.997,66.4911,17.2005,655.1045
462,玉桂西瓜子,31.05,34.4,23.767,458.5794
463,醬油西瓜子,29.537,37.6654,22.4739,486.6478
464,亞麻仁籽,20.83,40.328,28.1117,476.3326
465,亞麻仁籽粉,21.369,47.3785,27.274,527.5544
466,白芝麻(生),22.2645,54.9223,15.0075,576.2906
467,黑芝麻(生),22.1585,48.0768,17.6005,518.8619
468,白芝麻(熟),20.2885,58.6937,15.7107,603.422
,白芝麻,20.2885,58.6937,15.7107,603.422
469,黑芝麻(熟),17.26,54.4333,20.639,570.5749
470,黑芝麻粉,15.719,55.2097,20.7926,575.861
471,帶殼花生(生鮮),15.289,27.2359,12.2225,314.0174
472,土豆,15.289,27.2359,12.2225,314.0174
473,長生果,15.289,27.2359,12.2225,314.0174
474,落花生,15.289,27.2359,12.2225,314.0174
475,冷凍帶殼花生(生),17.153,27.444,13.3451,310.6581
476,土豆,17.153,27.444,13.3451,310.6581
477,長生果,17.153,27.444,13.3451,310.6581
478,落花生,17.153,27.444,13.3451,310.6581
479,紅土花生(熟),30.934,42.1664,21.0874,530.1106
480,土豆,30.934,42.1664,21.0874,530.1106
481,長生果,30.934,42.1664,21.0874,530.1106
482,落花生,30.934,42.1664,21.0874,530.1106
483,鹽酥花生(熟),28.246,38.0657,28.1462,512.5274
484,土豆,28.246,38.0657,28.1462,512.5274
485,長生果,28.246,38.0657,28.1462,512.5274
486,落花生,28.246,38.0657,28.1462,512.5274
487,去膜花生仁(生),28.8335,45.3639,19.1372,543.8724
488,土豆,28.8335,45.3639,19.1372,543.8724
489,長生果,28.8335,45.3639,19.1372,543.8724
490,落花生,28.8335,45.3639,19.1372,543.8724
491,帶膜花生仁(生),23.6283,38.1004,28.4046,500.0584
492,土豆,23.6283,38.1004,28.4046,500.0584
493,長生果,23.6283,38.1004,28.4046,500.0584
494,落花生,23.6283,38.1004,28.4046,500.0584
495,生鮮花生仁,28.785,38.5,20.5795,477.9512
496,土豆,28.785,38.5,20.5795,477.9512
497,長生果,28.785,38.5,20.5795,477.9512
498,落花生,28.785,38.5,20.5795,477.9512
499,醃漬花生仁,10.6,26,2.9,271
500,土豆,10.6,26,2.9,271
501,長生果,10.6,26,2.9,271
502,落花生,10.6,26,2.9,271
503,糖漬花生仁,14.22,23.271,28.8098,373.3678
504,土豆,14.22,23.271,28.8098,373.3678
505,長生果,14.22,23.271,28.8098,373.3678
506,落花生,14.22,23.271,28.8098,373.3678
507,油炸花生仁,28.886,48.4481,17.9595,609.3683
508,土豆,28.886,48.4481,17.9595,609.3683
509,長生果,28.886,48.4481,17.9595,609.3683
510,落花生,28.886,48.4481,17.9595,609.3683
511,蛋酥花生仁,21.14,43.84,31.78,591.72
512,土豆,21.14,43.84,31.78,591.72
